         228308 function calls (220670 primitive calls) in 19.828 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7   17.077    2.440   17.077    2.440 {method 'gather' of 'mpi4py.MPI.Comm' objects}
      400    0.784    0.002    0.823    0.002 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_utils.py:84(_cuda)
      730    0.425    0.001    0.425    0.001 {method 'decompress' of 'zlib.Decompress' objects}
       12    0.363    0.030    0.456    0.038 {method 'bcast' of 'mpi4py.MPI.Comm' objects}
      914    0.063    0.000    0.063    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.062    0.062    0.062    0.062 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/cuda/__init__.py:612(_raw_device_count_nvml)
27144/27052    0.055    0.000    0.080    0.000 {built-in method builtins.isinstance}
  3660/66    0.046    0.000    0.155    0.002 /home/sbose/.conda/envs/FL/lib/python3.10/copy.py:128(deepcopy)
      850    0.037    0.000    0.037    0.000 {built-in method zlib.crc32}
 1971/219    0.028    0.000    0.088    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/module.py:1845(state_dict)
        1    0.027    0.027    0.722    0.722 /home/sbose/time-series-forecasting-federation/files_for_appfl/comstock_dataloader.py:19(get_comstock)
    14998    0.026    0.000    0.026    0.000 {built-in method builtins.len}
     1971    0.024    0.000    0.045    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/module.py:1806(_save_to_state_dict)
     1210    0.023    0.000    0.023    0.000 {method 'to' of 'torch._C.TensorBase' objects}
    10183    0.019    0.000    0.019    0.000 {method 'get' of 'dict' objects}
       60    0.019    0.000    0.566    0.009 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/numpy/lib/format.py:738(read_array)
      730    0.015    0.000    0.507    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/zipfile.py:986(_read1)
      510    0.015    0.000    0.015    0.000 {method 'copy_' of 'torch._C.StorageBase' objects}
     3904    0.014    0.000    0.025    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/abc.py:117(__instancecheck__)
        5    0.014    0.003    0.062    0.012 /gpfs/fs1/home/sbose/APPFL/src/appfl/algorithm/server_federated.py:44(compute_pseudo_gradient)
     6271    0.013    0.000    0.014    0.000 {built-in method builtins.getattr}
     4818    0.012    0.000    0.012    0.000 {method 'detach' of 'torch._C.TensorBase' objects}
     6834    0.012    0.000    0.012    0.000 {built-in method builtins.id}
     5779    0.011    0.000    0.011    0.000 {built-in method builtins.hasattr}
     1795    0.011    0.000    0.017    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     1100    0.011    0.000    1.003    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:1399(persistent_load)
     6451    0.010    0.000    0.010    0.000 {method 'items' of 'collections.OrderedDict' objects}
      400    0.010    0.000    0.979    0.002 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:1372(load_tensor)
     1350    0.010    0.000    0.017    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/storage.py:581(__init__)
      830    0.010    0.000    0.027    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/zipfile.py:742(read)
     5084    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
      860    0.009    0.000    0.521    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/zipfile.py:904(read)
      800    0.009    0.000    0.530    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/numpy/lib/format.py:951(_read_bytes)
      125    0.009    0.000    1.050    0.008 {method 'load' of '_pickle.Unpickler' objects}
       27    0.009    0.000    0.009    0.000 {built-in method io.open}
      812    0.008    0.000    0.017    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/cuda/_utils.py:9(_get_device_index)
     3904    0.008    0.000    0.010    0.000 {built-in method _abc._abc_instancecheck}
      770    0.008    0.000    0.015    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:646(persistent_id)
     1279    0.007    0.000    0.012    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/copy.py:243(_keep_alive)
     1210    0.007    0.000    0.019    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_utils.py:178(_rebuild_tensor)
  378/217    0.007    0.000    0.081    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/copy.py:227(_deepcopy_dict)
     1232    0.007    0.000    0.007    0.000 {built-in method torch.empty}
     3352    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
       12    0.007    0.001    0.007    0.001 {built-in method torch.cuda._get_device_properties}
     4062    0.006    0.000    0.006    0.000 {method 'values' of 'collections.OrderedDict' objects}
     3114    0.006    0.000    0.006    0.000 {method 'strip' of 'str' objects}
     1720    0.006    0.000    0.009    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:1292(_maybe_decode_ascii)
     1320    0.006    0.000    0.006    0.000 {method 'set_' of 'torch._C.TensorBase' objects}
 1076/936    0.006    0.000    0.012    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/base.py:189(_get_flag)
       38    0.006    0.000    0.006    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      379    0.005    0.000    0.008    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/_utils.py:205(is_union_annotation)
      617    0.005    0.000    0.020    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/_utils.py:508(_is_missing_value)
  500/107    0.005    0.000    0.121    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/copy.py:259(_reconstruct)
     1350    0.005    0.000    0.008    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/storage.py:509(__new__)
     1210    0.005    0.000    0.024    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_utils.py:199(_rebuild_tensor_v2)
      730    0.005    0.000    0.021    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/zipfile.py:1022(_read2)
      308    0.005    0.000    0.010    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/base.py:152(_set_flag)
      400    0.005    0.000    0.021    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_guards.py:823(detect_fake_mode)
      620    0.005    0.000    0.017    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_tensor.py:241(_typed_storage)
        5    0.005    0.001    0.170    0.034 /gpfs/fs1/home/sbose/APPFL/src/appfl/algorithm/server_federated.py:56(update)
       10    0.005    0.000    0.604    0.060 /home/sbose/time-series-forecasting-federation/models/LFDataset.py:66(__init__)
      529    0.005    0.000    0.015    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/_utils.py:567(_is_interpolation)
       22    0.004    0.000    0.008    0.000 {method 'uniform_' of 'torch._C.TensorBase' objects}
     2276    0.004    0.000    0.004    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/copy.py:182(_deepcopy_atomic)
      114    0.004    0.000    0.155    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/basecontainer.py:524(_set_item_impl)
       45    0.004    0.000    0.012    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/module.py:1974(_load_from_state_dict)
      110    0.004    0.000    0.027    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_tensor.py:82(__deepcopy__)
   540/60    0.004    0.000    0.006    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/ast.py:84(_convert)
      110    0.004    0.000    0.028    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:1060(_legacy_load)
      620    0.004    0.000    0.006    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/_python_dispatch.py:119(_get_current_dispatch_mode_stack)
      704    0.004    0.000    0.006    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/autograd/grad_mode.py:183(__init__)
      400    0.004    0.000    0.924    0.002 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:263(_cuda_deserialize)
      125    0.004    0.000    1.082    0.009 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:865(load)
      110    0.004    0.000    0.012    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_tensor.py:247(_reduce_ex_internal)
      840    0.004    0.000    0.005    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_utils.py:817(_element_size)
      400    0.003    0.000    0.005    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_utils.py:759(_get_device_index)
     1872    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x744500}
      110    0.003    0.000    0.012    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:1182(persistent_load)
      120    0.003    0.000    0.024    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/zipfile.py:1488(open)
      418    0.003    0.000    0.025    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/dictconfig.py:455(_get_node)
1502/1346    0.003    0.000    0.005    0.000 {built-in method builtins.issubclass}
      110    0.003    0.000    0.025    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:635(_legacy_save)
      534    0.003    0.000    0.005    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/os.py:755(encode)
      405    0.003    0.000    0.016    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/cuda/__init__.py:105(is_available)
      730    0.003    0.000    0.040    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/zipfile.py:939(_update_crc)
      736    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:404(parent)
      510    0.003    0.000    0.927    0.002 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:388(default_restore_location)
      499    0.003    0.000    0.004    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/_utils.py:462(get_type_of)
       44    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      724    0.003    0.000    0.004    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/_utils.py:516(_is_missing_literal)
      190    0.003    0.000    0.011    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/_utils.py:746(_get_value)
      416    0.002    0.000    0.029    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/_utils.py:541(get_value_kind)
      418    0.002    0.000    0.017    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/dictconfig.py:149(_validate_get)
      532    0.002    0.000    0.007    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/os.py:675(__getitem__)
      531    0.002    0.000    0.010    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/_collections_abc.py:821(get)
      400    0.002    0.000    0.096    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:245(validate_cuda_device)
     1209    0.002    0.000    0.002    0.000 {built-in method builtins.max}
      148    0.002    0.000    0.033    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/nodes.py:24(__init__)
     1174    0.002    0.000    0.003    0.000 {built-in method builtins.min}
      935    0.002    0.000    0.002    0.000 {method 'seek' of '_io.BufferedReader' objects}
      400    0.002    0.000    0.008    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/_pytree.py:823(_tree_leaves_helper)
      317    0.002    0.000    0.009    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/module.py:2193(_named_members)
     1210    0.002    0.000    0.002    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:1330(dtype)
     1177    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     45/5    0.002    0.000    0.013    0.003 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/module.py:776(_apply)
      531    0.002    0.000    0.012    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/os.py:772(getenv)
      532    0.002    0.000    0.003    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/dictconfig.py:277(_s_validate_and_normalize_key)
      532    0.002    0.000    0.005    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/dictconfig.py:274(_validate_and_normalize_key)
      281    0.002    0.000    0.008    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/_utils.py:439(is_attr_class)
      352    0.002    0.000    0.006    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/autograd/grad_mode.py:79(__enter__)
      110    0.002    0.000    0.017    0.000 {method 'dump' of '_pickle.Pickler' objects}
      604    0.002    0.000    0.003    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_tensor.py:1059(__hash__)
       60    0.002    0.000    0.016    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/numpy/lib/format.py:587(_read_array_header)
     1056    0.002    0.000    0.002    0.000 {built-in method torch.is_grad_enabled}
      850    0.002    0.000    0.002    0.000 {method 'tell' of '_io.BufferedReader' objects}
      193    0.002    0.000    0.017    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/nodes.py:34(_set_value)
      440    0.002    0.000    0.002    0.000 {built-in method _pickle.load}
      285    0.002    0.000    0.007    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/_utils.py:431(is_dataclass)
      278    0.002    0.000    0.003    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/_utils.py:630(is_dict_annotation)
      279    0.002    0.000    0.017    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/_utils.py:447(is_structured_config)
      110    0.002    0.000    0.033    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:574(save)
      137    0.002    0.000    0.002    0.000 {built-in method builtins.__build_class__}
      626    0.002    0.000    0.006    0.000 {method 'decode' of 'bytes' objects}
      302    0.002    0.000    0.010    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/_utils.py:676(is_dict)
  407/134    0.002    0.000    0.002    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/module.py:2369(named_modules)
      129    0.002    0.000    0.024    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/dictconfig.py:168(_validate_set)
      830    0.002    0.000    0.002    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/zipfile.py:1537(<lambda>)
      830    0.002    0.000    0.002    0.000 {method '__exit__' of '_thread.RLock' objects}
      296    0.002    0.000    0.012    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/omegaconf.py:971(read_write)
      400    0.002    0.000    0.002    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/cuda/__init__.py:367(__exit__)
    64/61    0.002    0.000    0.054    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/omegaconf.py:994(_node_wrap)
  302/288    0.002    0.000    0.005    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/base.py:201(_get_flag_no_cache)
      120    0.002    0.000    0.004    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/zipfile.py:794(__init__)
      235    0.002    0.000    0.003    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:528(_check_seekable)
      405    0.002    0.000    0.010    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/cuda/__init__.py:101(_nvml_based_avail)
      227    0.002    0.000    0.003    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/dataclasses.py:1210(is_dataclass)
      400    0.002    0.000    0.002    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/_pytree.py:590(_is_namedtuple_instance)
      223    0.001    0.000    0.006    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/_utils.py:521(_is_none)
      220    0.001    0.000    0.004    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_guards.py:867(active_fake_mode)
      400    0.001    0.000    0.014    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/cuda/__init__.py:364(__enter__)
      401    0.001    0.000    0.005    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/_utils.py:625(is_primitive_dict)
      478    0.001    0.000    0.006    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/copy.py:264(<genexpr>)
      400    0.001    0.000    0.004    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/cuda/__init__.py:360(__init__)
        4    0.001    0.000    0.001    0.000 {built-in method io.open_code}
      400    0.001    0.000    0.005    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/_pytree.py:608(_is_leaf)
      400    0.001    0.000    0.009    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/_pytree.py:841(tree_leaves)
      235    0.001    0.000    0.007    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:442(_open_file_like)
      400    0.001    0.000    0.002    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_guards.py:582(try_get)
   249/52    0.001    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
      763    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      400    0.001    0.000    0.002    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/storage.py:37(size)
      400    0.001    0.000    0.004    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/_pytree.py:601(_get_node_type)
      400    0.001    0.000    0.002    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/storage.py:959(_data_ptr)
       60    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      571    0.001    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
      406    0.001    0.000    0.002    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/cuda/__init__.py:96(_is_compiled)
      220    0.001    0.000    0.002    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:512(_should_read_directly)
      620    0.001    0.000    0.001    0.000 {built-in method numpy.frombuffer}
      223    0.001    0.000    0.002    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/attr/_funcs.py:291(has)
      418    0.001    0.000    0.012    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/dictconfig.py:144(_is_typed)
      345    0.001    0.000    0.005    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:408(_is_path)
      190    0.001    0.000    0.050    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/dictconfig.py:438(_get_impl)
      190    0.001    0.000    0.031    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/basecontainer.py:86(_resolve_with_default)
      125    0.001    0.000    0.002    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:108(_is_zipfile)
      730    0.001    0.000    0.001    0.000 {method 'data_ptr' of 'torch._C.StorageBase' objects}
      352    0.001    0.000    0.002    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/autograd/grad_mode.py:74(__init__)
      756    0.001    0.000    0.001    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_jit_internal.py:1120(is_scripting)
      488    0.001    0.000    0.003    0.000 {method 'add' of 'set' objects}
      704    0.001    0.000    0.001    0.000 {built-in method torch._C._set_grad_enabled}
       20    0.001    0.000    0.009    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/zipfile.py:1330(_RealGetContents)
      620    0.001    0.000    0.001    0.000 {method 'untyped_storage' of 'torch._C.TensorBase' objects}
      308    0.001    0.000    0.015    0.000 {built-in method builtins.next}
      352    0.001    0.000    0.004    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/autograd/grad_mode.py:83(__exit__)
      352    0.001    0.000    0.002    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/_contextlib.py:149(__new__)
      296    0.001    0.000    0.010    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/omegaconf/omegaconf.py:503(set_readonly)
      660    0.001    0.000    0.001    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/__init__.py:631(is_storage)
      620    0.001    0.000    0.001    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/_python_dispatch.py:121(<listcomp>)
      162    0.001    0.000    0.002    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/typing.py:1154(__subclasscheck__)
      620    0.001    0.000    0.001    0.000 {built-in method torch._C._len_torch_dispatch_stack}
