         2675649 function calls (2624534 primitive calls) in 19.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 7600/400    0.053    0.000    1.597    0.004 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/module.py:1534(_call_impl)
     5996    0.051    0.000    0.088    0.000 <frozen importlib._bootstrap>:198(cb)
        1    0.051    0.051    0.051    0.051 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/cuda/__init__.py:612(_raw_device_count_nvml)
     1713    0.050    0.000    0.095    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/functools.py:35(update_wrapper)
       12    0.050    0.004    0.050    0.004 {built-in method torch.cuda._get_device_properties}
    23798    0.050    0.000    0.050    0.000 {method 'partition' of 'str' objects}
    23798    0.049    0.000    0.049    0.000 {built-in method _stat.S_ISLNK}
    13254    0.048    0.000    0.071    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/sympy/multipledispatch/conflict.py:15(<genexpr>)
     5266    0.046    0.000    0.127    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:1696(_check_class)
     6408    0.043    0.000    0.070    0.000 <frozen importlib._bootstrap>:100(acquire)
    12800    0.043    0.000    0.043    0.000 {method 'repeat' of 'numpy.ndarray' objects}
    10735    0.043    0.000    0.064    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/sre_parse.py:255(get)
     6408    0.042    0.000    0.068    0.000 <frozen importlib._bootstrap>:125(release)
 2000/200    0.042    0.000    0.404    0.002 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:108(collate)
    10157    0.040    0.000    0.059    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/sre_parse.py:173(append)
     5996    0.039    0.000    0.064    0.000 <frozen importlib._bootstrap>:71(__init__)
     3817    0.038    0.000    0.119    0.000 {built-in method builtins.any}
     9547    0.038    0.000    0.067    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/abc.py:117(__instancecheck__)
      850    0.038    0.000    0.038    0.000 {built-in method zlib.crc32}
     5437    0.037    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     1400    0.037    0.000    0.037    0.000 {built-in method torch.stack}
      200    0.037    0.000    2.657    0.013 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/dataloader.py:673(_next_data)
     9800    0.037    0.000    0.054    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/compiler/__init__.py:157(is_compiling)
18001/17424    0.036    0.000    0.045    0.000 {built-in method builtins.issubclass}
4234/3466    0.036    0.000    6.034    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     9800    0.036    0.000    0.091    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_utils.py:851(is_compiling)
     1600    0.036    0.000    0.036    0.000 {built-in method torch.relu}
     2640    0.034    0.000    3.273    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:2803(load_object)
    15692    0.034    0.000    0.034    0.000 {method 'size' of 'torch._C.TensorBase' objects}
     5437    0.034    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     2638    0.034    0.000    0.360    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_dynamo/utils.py:561(unwrap_with_attr_name_if_wrapper)
    12800    0.034    0.000    0.034    0.000 {method 'reshape' of 'numpy.generic' objects}
    12577    0.033    0.000    0.045    0.000 {method 'join' of 'str' objects}
1652/1611    0.033    0.000    0.747    0.000 {built-in method builtins.__build_class__}
     4400    0.033    0.000    0.057    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/optim/optimizer.py:97(_dispatch_sqrt)
     2400    0.032    0.000    0.123    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/rnn.py:816(check_forward_args)
      200    0.032    0.000    0.032    0.000 {built-in method torch._foreach_sqrt}
    15414    0.032    0.000    0.032    0.000 {built-in method _imp.release_lock}
    14760    0.032    0.000    0.032    0.000 {method 'get' of 'mappingproxy' objects}
 7600/400    0.031    0.000    1.599    0.004 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/module.py:1528(_wrapped_call_impl)
    15414    0.031    0.000    0.031    0.000 {built-in method _imp.acquire_lock}
      173    0.031    0.000    0.325    0.002 /home/sbose/.conda/envs/FL/lib/python3.10/dataclasses.py:881(_process_class)
      931    0.029    0.000    0.725    0.001 <frozen importlib._bootstrap_external>:1536(find_spec)
