         8274285 function calls (8097115 primitive calls) in 66.252 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2858    0.116    0.000    0.218    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/posixpath.py:338(normpath)
     5400    0.110    0.000    0.423    0.000 /home/sbose/time-series-forecasting-federation/models/LFDataset.py:32(method)
    49442    0.106    0.000    0.106    0.000 {method 'startswith' of 'str' objects}
       15    0.101    0.007   33.283    2.219 /gpfs/fs1/home/sbose/APPFL/src/appfl/algorithm/fl_base.py:166(client_validation)
    21600    0.094    0.000    0.137    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/rnn.py:243(get_expected_hidden_size)
    23401    0.093    0.000    0.139    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_VF.py:26(__getattr__)
    12600    0.089    0.000    0.391    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:194(collate_tensor_fn)
   282/27    0.088    0.000    0.316    0.012 /home/sbose/.conda/envs/FL/lib/python3.10/sre_parse.py:494(_parse)
      150    0.088    0.001    0.088    0.001 {built-in method torch._foreach_sqrt}
    43200    0.088    0.000    0.088    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/rnn.py:828(permute_hidden)
    14400    0.087    0.000    0.397    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/functional.py:1489(relu)
    21600    0.086    0.000    0.131    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/rnn.py:804(get_expected_cell_size)
    21130    0.082    0.000    0.156    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/abc.py:117(__instancecheck__)
    13650    0.080    0.000    0.131    0.000 /home/sbose/time-series-forecasting-federation/models/LFDataset.py:55(append)
    41525    0.079    0.000    0.079    0.000 {built-in method posix.fspath}
        1    0.078    0.078    0.079    0.079 {built-in method _imp.create_dynamic}
    20911    0.075    0.000    0.111    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/sre_parse.py:165(__getitem__)
    34488    0.073    0.000    0.073    0.000 {method 'endswith' of 'str' objects}
      717    0.072    0.000    0.072    0.000 {built-in method marshal.loads}
     4050    0.071    0.000    0.393    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/copy.py:66(copy)
    15798    0.070    0.000    0.108    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:1712(_shadowed_dict)
   354/26    0.065    0.000    0.161    0.006 /home/sbose/.conda/envs/FL/lib/python3.10/sre_compile.py:87(_compile)
     9300    0.064    0.000    0.108    0.000 /home/sbose/time-series-forecasting-federation/models/LFDataset.py:28(__getattr__)
       89    0.062    0.001    0.336    0.004 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/sympy/multipledispatch/conflict.py:27(<setcomp>)
    28454    0.062    0.000    0.062    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/sympy/core/assumptions.py:489(as_property)
     3600    0.062    0.000    0.377    0.000 /home/sbose/time-series-forecasting-federation/models/LFDataset.py:62(<listcomp>)
31204/31091    0.062    0.000    0.062    0.000 {built-in method builtins.hash}
      150    0.062    0.000    0.138    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/optim/adam.py:82(_init_group)
    26330    0.061    0.000    0.061    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:1684(_static_getmro)
5077/4273    0.060    0.000    0.559    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/copy.py:259(_reconstruct)
    14400    0.059    0.000    0.456    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/activation.py:102(forward)
     6032    0.058    0.000    0.180    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/sympy/multipledispatch/conflict.py:12(consistent)
   3386/4    0.058    0.000   11.995    2.999 <frozen importlib._bootstrap>:1022(_find_and_load)
     6971    0.058    0.000    0.126    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/posixpath.py:60(isabs)
     5266    0.057    0.000    0.292    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:1726(getattr_static)
      150    0.057    0.000    0.057    0.000 {built-in method torch._foreach_mul_}
     8445    0.056    0.000    0.056    0.000 {method 'item' of 'torch._C.TensorBase' objects}
     6600    0.056    0.000    0.146    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/optim/optimizer.py:84(_get_value)
     6408    0.055    0.000    0.146    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     3600    0.055    0.000    0.055    0.000 {built-in method torch.zeros}
    12939    0.054    0.000    0.240    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/sympy/multipledispatch/conflict.py:43(edge)
     4830    0.053    0.000    0.117    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/tokenize.py:431(_tokenize)
     5996    0.051    0.000    0.087    0.000 <frozen importlib._bootstrap>:198(cb)
    13254    0.050    0.000    0.075    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/sympy/multipledispatch/conflict.py:15(<genexpr>)
     1658    0.049    0.000    0.093    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/functools.py:35(update_wrapper)
     7480    0.049    0.000    0.091    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:789(persistent_id)
    23798    0.049    0.000    0.049    0.000 {built-in method _stat.S_ISLNK}
    23798    0.048    0.000    0.048    0.000 {method 'partition' of 'str' objects}
    21130    0.047    0.000    0.074    0.000 {built-in method _abc._abc_instancecheck}
24116/23632    0.047    0.000    0.053    0.000 {built-in method builtins.issubclass}
     5266    0.046    0.000    0.131    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/inspect.py:1696(_check_class)
        1    0.045    0.045    0.046    0.046 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/cuda/__init__.py:612(_raw_device_count_nvml)
    22951    0.044    0.000    0.044    0.000 {built-in method builtins.id}
     7200    0.043    0.000    0.071    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/container.py:207(__iter__)
     6408    0.043    0.000    0.069    0.000 <frozen importlib._bootstrap>:100(acquire)
    10735    0.042    0.000    0.064    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/sre_parse.py:255(get)
     6408    0.042    0.000    0.068    0.000 <frozen importlib._bootstrap>:125(release)
       12    0.040    0.003    0.040    0.003 {built-in method torch.cuda._get_device_properties}
    10157    0.040    0.000    0.058    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/sre_parse.py:173(append)
     5996    0.039    0.000    0.064    0.000 <frozen importlib._bootstrap>:71(__init__)
      850    0.038    0.000    0.038    0.000 {built-in method zlib.crc32}
     5437    0.038    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
    12577    0.038    0.000    0.049    0.000 {method 'join' of 'str' objects}
     3652    0.036    0.000    0.111    0.000 {built-in method builtins.any}
     1830    0.035    0.000    0.068    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/utils/data/sampler.py:274(__iter__)
     2640    0.034    0.000    3.772    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:2803(load_object)
     2638    0.034    0.000    0.365    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_dynamo/utils.py:561(unwrap_with_attr_name_if_wrapper)
     5437    0.034    0.000    0.113    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       22    0.034    0.002    0.041    0.002 {method 'uniform_' of 'torch._C.TensorBase' objects}
3717/2949    0.034    0.000    8.236    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.033    0.033    0.752    0.752 /home/sbose/time-series-forecasting-federation/files_for_appfl/comstock_dataloader.py:19(get_comstock)
1652/1611    0.033    0.000    0.742    0.000 {built-in method builtins.__build_class__}
    15414    0.032    0.000    0.032    0.000 {built-in method _imp.release_lock}
    14650    0.032    0.000    0.032    0.000 {method 'get' of 'mappingproxy' objects}
       88    0.031    0.000    0.031    0.000 {built-in method _make_subclass}
      173    0.031    0.000    0.328    0.002 /home/sbose/.conda/envs/FL/lib/python3.10/dataclasses.py:881(_process_class)
    15414    0.031    0.000    0.031    0.000 {built-in method _imp.acquire_lock}
     1650    0.031    0.000    0.077    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/numpy/core/_methods.py:101(_mean)
    12859    0.030    0.000    0.030    0.000 {method 'rstrip' of 'str' objects}
    14880    0.029    0.000    0.029    0.000 {built-in method torch._C._has_torch_function_unary}
     2115    0.029    0.000    0.029    0.000 {built-in method torch._ops.profiler._record_function_enter_new}
      931    0.029    0.000    0.442    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
     7350    0.029    0.000    0.043    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/compiler/__init__.py:157(is_compiling)
      150    0.028    0.000    0.028    0.000 {built-in method torch._foreach_addcmul_}
     7350    0.028    0.000    0.071    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_utils.py:851(is_compiling)
    13077    0.028    0.000    0.031    0.000 {built-in method __new__ of type object at 0x744500}
    14665    0.028    0.000    0.028    0.000 {built-in method builtins.callable}
     4490    0.028    0.000    0.046    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/autograd/grad_mode.py:183(__init__)
    13182    0.028    0.000    0.029    0.000 {built-in method builtins.setattr}
     3300    0.028    0.000    0.046    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/optim/optimizer.py:97(_dispatch_sqrt)
    12817    0.027    0.000    0.027    0.000 {method '__exit__' of '_thread.lock' objects}
     1800    0.027    0.000    0.278    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/functional.py:3339(mse_loss)
     5400    0.026    0.000    0.026    0.000 {method 'numpy' of 'torch._C.TensorBase' objects}
     3022    0.026    0.000    0.156    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
