         228165 function calls (220529 primitive calls) in 66.295 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7   63.399    9.057   63.399    9.057 {method 'gather' of 'mpi4py.MPI.Comm' objects}
      400    0.760    0.002    0.798    0.002 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/_utils.py:84(_cuda)
      730    0.423    0.001    0.423    0.001 {method 'decompress' of 'zlib.Decompress' objects}
       12    0.380    0.032    0.472    0.039 {method 'bcast' of 'mpi4py.MPI.Comm' objects}
      914    0.089    0.000    0.089    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.059    0.059    0.060    0.060 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/cuda/__init__.py:612(_raw_device_count_nvml)
27104/27012    0.054    0.000    0.078    0.000 {built-in method builtins.isinstance}
  3660/66    0.046    0.000    0.157    0.002 /home/sbose/.conda/envs/FL/lib/python3.10/copy.py:128(deepcopy)
        5    0.041    0.008    0.041    0.008 {method 'readline' of '_io.BufferedReader' objects}
      850    0.038    0.000    0.038    0.000 {built-in method zlib.crc32}
       22    0.034    0.002    0.041    0.002 {method 'uniform_' of 'torch._C.TensorBase' objects}
        1    0.033    0.033    0.751    0.751 /home/sbose/time-series-forecasting-federation/files_for_appfl/comstock_dataloader.py:19(get_comstock)
       66    0.031    0.000    0.031    0.000 {built-in method _make_subclass}
 1971/219    0.029    0.000    0.091    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/module.py:1845(state_dict)
    15000    0.026    0.000    0.026    0.000 {built-in method builtins.len}
     1210    0.025    0.000    0.025    0.000 {method 'to' of 'torch._C.TensorBase' objects}
     1971    0.024    0.000    0.047    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/nn/modules/module.py:1806(_save_to_state_dict)
        5    0.019    0.004    0.085    0.017 /gpfs/fs1/home/sbose/APPFL/src/appfl/algorithm/server_fed_avg.py:4(compute_step)
    10176    0.019    0.000    0.019    0.000 {method 'get' of 'dict' objects}
       60    0.017    0.000    0.564    0.009 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/numpy/lib/format.py:738(read_array)
      510    0.016    0.000    0.016    0.000 {method 'copy_' of 'torch._C.StorageBase' objects}
      730    0.015    0.000    0.506    0.001 /home/sbose/.conda/envs/FL/lib/python3.10/zipfile.py:986(_read1)
        5    0.015    0.003    0.063    0.013 /gpfs/fs1/home/sbose/APPFL/src/appfl/algorithm/server_federated.py:44(compute_pseudo_gradient)
     3891    0.014    0.000    0.024    0.000 /home/sbose/.conda/envs/FL/lib/python3.10/abc.py:117(__instancecheck__)
     4818    0.013    0.000    0.013    0.000 {method 'detach' of 'torch._C.TensorBase' objects}
     6267    0.013    0.000    0.014    0.000 {built-in method builtins.getattr}
     6834    0.012    0.000    0.012    0.000 {built-in method builtins.id}
       27    0.012    0.000    0.012    0.000 {built-in method io.open}
      400    0.011    0.000    0.950    0.002 /home/sbose/.conda/envs/FL/lib/python3.10/site-packages/torch/serialization.py:1372(load_tensor)
